Username,Comment
@stannisbarracuda5693,It’s simple I see a think school video I click
@stryker_xxi,"Wework failed true but its CEO Adam did not, 14:11 he owned many properties himself, and 20:04 these landlord this is Adam himself is still making profits.
and what more interesting is that he pitched an Idea raised funds took PL at low intrests to buy properties for himself and then use his company funds to rent his own properties.
conclusion Wework failed but Adam didnt failed."
@danishahluwalia6175,great video dude.....but this company never made 47 bln dollars ........it cannot happen so soon.....it was a very young company with a hand-full of investors .......
@TravellWithDOC,Can you share the name of the book ?
@BelleFille281093,You think they chose to be in debt?
@sandeepeshanya1700,Think School channel is like digital business scool for us. Being a first generation entrepreneur am learning so many lessons from them. Thank you team.
@amitagarwal9284,"Amazing homework and great content presentation!! Your videos subject selection and efforts you put in for making such videos is commendable. 👏
And I completely agree with you that education is all about expanding your thinking capability. That’s exactly your channel name Think School."
@pareek_editzz,Please increase your video frequency
@roshanakthar4136,Bruh please make a video about India edutech companies like Skill-Lync and Byjus
@aryanmeshram24,Okay liked the video
@AnkitG12,Amazing case study. Thank you.
@bhargava32,All the best to you bro
@Surya-ue3gt,Bro can you please make a case study about coffee plantation in brazil and cocoa plantation in ghana..
@krishagarwal8572,Bro please do a detailed vedio on 2008 cridis
@nishantjose6268,Literally saw the view of this video going up.... only a legendary team can do this
@vksmoorthy,"It was a 20 minute video ...but never felt so long ....excellent narration ,visuals , editing , research , excellent work by the whole team ,.....Awesome"
@Jigartchaudhary,"This is wonderful video, I learn a lot from you and think school . Thank you so much for this type of video, love you bro❤."
@rp10304,"Don't know much about US regulations, but the founder should be penalized. How can they simply file for bankruptcy. When Soft bank acquired the firm Wework, they knew it was in troubled waters and knew that the founder owned some of the property in his name and was making profits thru rental income. Something fishy."
@basavarajravaloji5357,"Very useful for working professionals in technical fields.. With rapidly changing work styles,.. People have to look for the company's history rather than simply joining with higher pay.. 
If you're getting too high pay for your experience level then you're in red zone"
@Rohan-0606,It looks similar to byjus
@ThinkSchool,"Hey guys, 
Please hit the like button to support our work!! Would mean alot :) 
Thank you 


Ganesh"
@SamarjitGhosh-fm4tj,"Extra+  On the other hand Wework India(Karan Virwani led, where his family business Embassy Group holds 73 % stake) is doing Great, 
Rs 1400 cr revenue in FY22 with profit(exact number is undisclosed)
In this Fiscal Rs 831cr in the April-Sept period,with an EBITDA of Rs 532cr, up 90% YoY."
@GaneshKumar-sf4ph,Wecrashed is a must watch webseries based on wework.
@shreyanshchauhan9351,I was just researching about we work and then you made this video
@bhajrangbali7975,What can i say.... people thought we work stock as meme coin😂
@tanaydas2690,Sir I want to know about PW education platform business strategy
@manjularao4206,Great Analysis Ganesh Bhai.God bless you. I specifically liked the point about ethical principles.
@abhinavkumar4195,Production skills❤
@pratikshelar1492,Hi. Your videos are too informative as in perspective of business strategy and management. Can you make a video on Wizz Air?
@user-od5mj6my9p,Make next video on sam altman getting fired from openai
@chociceandchips-xk5cc,"It was never a decent business model, valuations based on thin air
Who next 😁 FOMO"
@soubhagyaparida2719,"""Hey! Love your content! Please consider a case study on Rameswaram Cafe outshining foreign QSRs. Excited to see how local flavors and strategies drive success. As a business student, can't wait! 👍"""
@swarnadityaroy7385,Hdfc is really legendary. Please make a video on the hdfc group.
@amiyaranjan5604,"My office was in Wework suddenly it moved to Cowrks 
Now I knew the reason 
I never thought that this kind of business really exist."
@aravind.a,"As usual wonderful video.

But I have the doubt on IPO - in order to go IPO company should be active for some years right? How come suddenly new company jump in into IPO?"
@aravindshakamuri3643,"Not upto the mark, Missing lots of details, feels rushed, no longer has a proper story telling. Frist time I felt so with Think School Videos."
@hrxprathmesh,We crashed!
@konsamkelvin232,"Think school is very useful and knowledgeable,  i get to learn lot from it."
@BadeRajasekhar,"❤ give us more business case studies..

Request : Give us business case study on HDFC & IDFC"
@dudeimstoned5141,"The richest countries topic was explained in the @statinsight channel which I can relate of. India is on top for 0-1700 years. 1700+ years in total. Then we fell. 

I feel downfall for every country and company is inevitable. Comeback? Depends on them. Nokia did fell, apple soon?"
@sairamgangisetty8730,800th liker here
@whymedia2320,Character is more important than Competence - CA ADZ
@parthasaikia6977,"I love this type of video from think school....thier business documentary video are fantastic.....Ganesh bhai explains so well.....that a 15 year old boy can understand it very well and fall in love with business studies......that 15 year old boy was me, when think school was started i was 15 year old.....❤❤❤...lots of love for think school team"
@balbhadraagarwal8724,fun fact x valued the same
@ansanpsam,"00:01 📉 WeWork's Bankruptcy

WeWork filed Chapter 11, ending its high-flying status, with share prices dropping 98.4% from $100 to $1.6.
01:36 🚀 Rapid Rise and Challenges

WeWork, once valued at $47 billion in 2019, rapidly expanded to 83 locations, facing financial challenges.
05:23 💰 Business Model Strain

WeWork's innovative leasing model strained with aggressive expansion from 23 to 777 locations, impacting demand.
09:35 📉 Financial Woes

Despite revenue growth, WeWork's losses exceeded $15 billion by 2019, driven by rapid expansion and side ventures.
13:30 🏢 Impact of Changing Work Trends

Changing work patterns, the freelance economy, and the 2008 recession influenced WeWork's success, further challenged by COVID-19.
15:20 🔄 SPAC Attempt

WeWork attempted a turnaround through SPAC Boex Acquisition Corp, facing challenges despite SPAC advantages.
20:30 💸 Bankruptcy Causes

WeWork filed bankruptcy due to reduced demand, landlord undercuts, and unsustainable debts, emphasizing lessons in sustainable growth, financial discipline, and ethical leadership.
21:52 📚 Key Business Lessons

Lessons from WeWork's failure: prioritize sustainable growth, maintain financial discipline, and beware of unethical practices, highlighting the significance of ethical leadership for long-term success"
@yashshukla6514,failure story are equally precious .
@gunjantomar07,This was really Insightful. Sustainable growth should be over and above Rapid Expansion..TRUEEE! And Financial Discipline is the key to it! Thank you for sharing such a beautiful analysis :)
@gokulr2076,Please address my comments bro i feel disinterested in watching business case study.but your geopolitical case study is more interesting to watch ❤
@gokulr2076,Please make a video on world geopolitics.watching your geopolitics video is more interesting than these business case study
@shreyas_joshi,Hoping a video on Sam Altman - OpenAI - Microsoft saga!
@adityarajput5752,"BHAI AAAPNE TO AANKHE KHOL DI 
RIP -- WE WORK 😑😑

THNX FOR SUCH GREAT CONTENT IN SUCH SHORT DURATION"
@vaibhavkarande5461,"Brother there is a small mistake, 75% of company will acquire for 112.5 million dollars at the valuation of 150 million dollars. 
By the way Great work bro .
You guys are fabulous ❤"
@deepakpalavalasa2332,"My friend works in this company , yesterday promoted him to senior manager . Now he can search for better position in other companies"
@siddharthchitale5025,I have visited their Mumbai vikroli office it is great but not much active
@factsfornigga,What a series
@newday5290,"Think school ko Hindi nahin aati hai.
Hindi channel 👎
😂😂😂😂😂
😂😂😂😂
😂😂😂
😂😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂
😂

?"
@bvssrsguntur6338,Your news read outs are such a distractions. Just stay on analysis rather than those loud news readouts
@aman_3599_,"Can you find a job for me 🙏.
 I am passed 8th class with top rank.
Now I am studying in 9th class.
I always support you bro 💯.you are my favourite youtuber ❤️"
@TheOneWhoKnocks70,"Please think school make a video on open AI, why yhey removed Altman then he gone to Microsoft"
@radleysmith7528,Have they refinanced still see adverts on the web
@sinoleswipe7234,"Really good video 
Suggest me a book for intraday trade in Indian stock for beginners 😊"
@luckyaggarwal5552,Please make a video on internet through satellite business model.
@progamer_om790,Thinkschool I have been watching your videos since 2022 when you had 200k and now you’re in the millions great job I hope I can meet you 1 day.
@rishiraj2548,Hi
